Assigned_to_Group,Category,Item,Summary,Resolution,Support_Diary,Notes,Work_Log,1CApp_Name,row_count
AppLensLite_L2,AppLens,How to add/delete users,How to add/delete users in AppLens,"KEYWORD: Access denied ,login,query  ISSUE: User is unable to login into Applens  CAUSE CODE: Browser compatibility issue  RESOLUTION CODE: Working as we expected","674096 1/7/2019 4:12:59 PM  /  Rameezh KA    436569 1/7/2019 12:20:16 PM  //  Paramasivam Krishnamoorthy    436569 1/4/2019 3:54:10 PM  //  Paramasivam Krishnamoorthy    436569 1/4/2019 3:36:01 PM  //  Paramasivam Krishnamoorthy     436569 1/4/2019 3:35:53 PM  //  Paramasivam Krishnamoorthy    673898 1/4/2019 3:26:54 PM  Hi Team,  User is unable to login into Applens ,since it throws access denied error.  As checked from our end ,the user is tagged to the below project as per ESA and tagged in EmployeeCustomerMapping table but not tagged to the respective project in EmployeeProjectTable .  Project id:1000233864  Please assist the user.  Subhashini S    673898 1/4/2019 3:09:43 PM  a  Subhashini S    625820 1/4/2019 9:20:29 AM  In Progress  Keerthana G S    673898 1/3/2019 8:39:25 PM  a  Subhashini S   ",Need to add a user associate id - 703808 to applens under the project Chubb INA Holdings Inc.,"AR_ESCALATOR 1/11/2019 4:58:34 AM  Case INC000033106371 was automatically closed on 1/11/2019 2:00:52 AM.      674096 1/7/2019 4:17:12 PM  Hi Nithin,  As per your conformation we are resolving the ticket.  Thanks,  Rameezh KA    SSOneC1697PROD 1/4/2019 7:10:46 PM  So the user looks to be able to access the applens and enter the efforts. It was a browser compatibility issue. But still the user's details are not listed in the reports generated under Chubb INA Holdings Inc. Can you please check why this happens? The user is under Chubb INA Holdings Inc. and should be available in the reports generated .  Nithin Swamidas    1CAPP 1/4/2019 3:09:09 PM  user is not even able to login to applens.  Nithin Swamidas    625820 1/4/2019 9:23:37 AM  Dear Nithin ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033106371  Request:  We understand from your description that, How to add/delete users in AppLens  Resolution:  We kindly request you to share the screen shot from the ESA / mail regarding the user allocation . Please check in the below navigation to view the user details  https://applens.cognizant.com--> user management --> Ticketing module user (select the respective project in the drop down)  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.   Keerthana G S    SSOneC1697PROD 1/3/2019 9:58:14 PM  703808 - user is allocated to the project - Chubb INA Holdings Inc.. But still doesnt have access to applens.  Nithin Swamidas    673898 1/3/2019 8:45:29 PM   Dear Nithin ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033106371  Request:  We understand from your description that, How to add/delete users in AppLens  Resolution:  Please be informed that, as discussed on IM,if the user is having allocation in the project as per ESA he/she will be active in the AppLens since the data flows from ESA to AppLens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S    SSOneC1697PROD 1/3/2019 8:28:20 PM  Need to add one more user - id - 116198  Nithin Swamidas   ",AppLensLite,207
L1 (AVM Tools & Portals),AppLensLite,How to unfreeze timesheet,Unable to view the Account name in the drop down in AppLens,"Dear Prabhanjan ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033105551  Request:  We understand from your description that, Unable to view the Account name in the drop down   Resolution:  Please be informed that, as discussed on call,once the timesheet is approved in AppLens ,you will not be able to make any changes like unfreeze  in AppLens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 1/4/2019 2:35:37 PM  a  Subhashini S    673898 1/3/2019 7:55:05 PM  In Progress  Subhashini S   ,Time sheet submitted for 1 single day and however it is approved by my reporting lead. need to unfreeze the same to add and submit for a week. my reporting lead not able to unfreeze the same.,"673898 1/4/2019 2:36:25 PM  Dear Prabhanjan ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033105551  Request:  We understand from your description that, Unable to view the Account name in the drop down   Resolution:  Please be informed that, as discussed on call,once the timesheet is approved in AppLens ,you will not be able to make any changes like unfreeze  in AppLens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.  Subhashini S    673898 1/3/2019 8:37:27 PM  Dear Prabhanjan ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033105551  Request:  We understand from your description that, Unable to view the Account name in the drop down   Resolution:  Please be informed that, once the timesheet is approved in AppLens ,you will not be able to make any changes in AppLens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,208
L1 (AVM Tools & Portals),AppLensLite,Performance Issue,applens admin console,"Dear Gokul ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033105011  Request:  We understand from your description that, applens admin console  Resolution:  Please be informed that, as discussed on IM,if the issue persists again request you to save your user details in the user management screen and try loading the page.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 1/3/2019 7:56:11 PM  a  Subhashini S   ,"Hi Team,  Unable to view the admin console settings. The page is empty. Please check.  Thanks, Gokul","AR_ESCALATOR 1/10/2019 3:15:54 AM  Case INC000033105011 was automatically closed on 1/10/2019 2:00:58 AM.      673898 1/3/2019 8:05:23 PM  Dear Gokul ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033105011  Request:  We understand from your description that, applens admin console  Resolution:  Please be informed that, as discussed on IM,if the issue persists again request you to save your user details in the user management screen and try loading the page.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,209
L1 (AVM Tools & Portals),AppLensLite,How to unfreeze timesheet,How to unfreeze timesheet in AppLensLite,"Dear Nithin ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033104083  Request:  We understand from your description that, How to unfreeze timesheet in AppLensLite  Resolution:  Please be informed that, as discussed on IM,the timesheet approver for 250967  is 114995-Gopal,Balaji .Request you to reach the timesheet approver to unfreeze the timesheet.  NOTE: Timesheet cannot be unfreezed for more than 30 days.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 1/3/2019 7:30:06 PM  In Progress  Subhashini S   ,Need to unfreeze the timesheets for a user - 250967 from 1 december 2018 till 01/04/2019. The user doesnt know who can do the unfreeze. Please help here.,"AR_ESCALATOR 1/10/2019 3:19:49 AM  Case INC000033104083 was automatically closed on 1/10/2019 2:00:58 AM.      673898 1/3/2019 7:36:47 PM  Dear Nithin ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033104083  Request:  We understand from your description that, How to unfreeze timesheet in AppLensLite  Resolution:  Please be informed that, as discussed on IM,the timesheet approver for 250967  is 114995-Gopal,Balaji .Request you to reach the timesheet approver to unfreeze the timesheet.  NOTE: Timesheet cannot be unfreezed for more than 30 days.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,210
L1 (AVM Tools & Portals),AppLensLite,How to unfreeze timesheet,Need clarfication in Service Analytics Dashboard in AppLens,"Dear Parantap ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033102287  Request:  We understand from your description that, Need clarfication in Service Analytics Dashboard in AppLens  Resolution:  Please be informed that, as discussed on IM,we request you to reach your timesheet approver-199073 to unfreeze the timesheet and re-submit the same by making necessary changes and request the timesheet approver to navigate to below path,  Ticketing module>>Lead self service>>Approve/Unfreeze>>Save  Please note that,if the timesheet is already approved you will not be able to do any changes.   Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 1/3/2019 6:36:37 PM  a  Subhashini S   ,"Hi Team,  by mistake , I have i have put the time entry  for  1st Jan 2019 and submitted the time sheet in App lens .No i am not able to edit it.Please refer the attached screenshot and advise what needs to be done.","AR_ESCALATOR 1/10/2019 3:23:16 AM  Case INC000033102287 was automatically closed on 1/10/2019 2:00:58 AM.      673898 1/3/2019 6:44:51 PM  Dear Parantap ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033102287  Request:  We understand from your description that, Need clarfication in Service Analytics Dashboard in AppLens  Resolution:  Please be informed that, as discussed on IM,we request you to reach your timesheet approver-199073 to unfreeze the timesheet and re-submit the same by making necessary changes and request the timesheet approver to navigate to below path,  Ticketing module>>Lead self service>>Approve/Unfreeze>>Save  Please note that,if the timesheet is already approved you will not be able to do any changes.   Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,211
AVMPMO_L2,AVM PMO,Reports issue in AVM PMO,AVM PMO - Reports issue in AVM PMO,,"597603 1/3/2019 5:38:16 PM  WIP  SRI RAM    439435 1/3/2019 5:37:36 PM  Hi Team,  please change the status to ""2.7.2 – Internal Sourcing – Pipeline PDP/CDP"" for the demand - 30527791  Warm Regards, AVM PMO Support.  Vishnu Priya K   ","please change the status to ""2.7.2 – Internal Sourcing – Pipeline PDP/CDP"" for the demand - 30527791","AR_ESCALATOR 1/9/2019 2:22:15 AM  Case INC000033099448 was automatically closed on 1/9/2019 2:00:00 AM.      597603 1/3/2019 5:39:52 PM   status updated to ""2.7.2 – Internal Sourcing – Pipeline PDP/CDP"" for the demand - 30527791  SRI RAM   ",AVMPMO,212
L1 (AVM Tools & Portals),Applens,How to Onboard AppLensLite,Applens access denied,"Dear Gowrisankar ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033099341  Request:  We understand from your description that, Applens access denied  Resolution:  Please be informed that, we tried reaching you through IM/Vnet-9790602211 @6.30PM IST but the call went busy.  Please note that as checked from our end the project setup is not completed for the project-1000215620 in applens .Request you to reach the PM-112695  of the project who has by default admin access and request him/her to complete the project setup by using the below help link,  https://knowhub.cognizant.com/org/AVMCOE/Repository/Forms/AllItems.aspx?RootFolder=%2forg%2fAVMCOE%2fRepository%2fCognizant%20AppLens%2fArtifacts&FolderCTID=0x01200019FFC54613F2FC4FADF1315F7FC8F738   Please note that,if you have any issues with the portal we will be able to assist and if you have queries in onboarding the project in AppLens request you to reach your project DE POC.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.","673898 1/3/2019 7:12:45 PM  a  Subhashini S    673898 1/3/2019 6:25:32 PM  In Progress  Subhashini S    670407 1/3/2019 6:23:17 PM  Hi Team,  Kinldy assist the user.  Regards, Simplified L0 Team.  Mathupriya Mathiazhagan   ","Not able to enter details in AppLens ticketing module, getting access denied error.  Please find the attached screen for more details.  Please do the needful.  Thanks, Gowrisankar S","AR_ESCALATOR 1/10/2019 3:32:38 AM  Case INC000033099341 was automatically closed on 1/10/2019 2:00:58 AM.      673898 1/3/2019 7:13:03 PM  Dear Gowrisankar ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033099341  Request:  We understand from your description that, Applens access denied  Resolution:  Please be informed that, we tried reaching you through IM/Vnet-9790602211 @6.30PM IST but the call went busy.  Please note that as checked from our end the project setup is not completed for the project-1000215620 in applens .Request you to reach the PM-112695  of the project who has by default admin access and request him/her to complete the project setup by using the below help link,  https://knowhub.cognizant.com/org/AVMCOE/Repository/Forms/AllItems.aspx?RootFolder=%2forg%2fAVMCOE%2fRepository%2fCognizant%20AppLens%2fArtifacts&FolderCTID=0x01200019FFC54613F2FC4FADF1315F7FC8F738   Please note that,if you have any issues with the portal we will be able to assist and if you have queries in onboarding the project in AppLens request you to reach your project DE POC.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.  Subhashini S    673898 1/3/2019 6:35:17 PM  Dear Gowrisankar ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033099341  Request:  We understand from your description that, Applens access denied  Resolution:  Please be informed that, we tried reaching you through IM/Vnet-9790602211 @6.30PM IST but the call went busy.  Please note that as checked from our end the project setup is not completed for the project-1000215620 in applens .Request you to reach the PM-112695  of the project who has by default admin access and request him/her to complete the project setup by using the below help link,  https://knowhub.cognizant.com/org/AVMCOE/Repository/Forms/AllItems.aspx?RootFolder=%2forg%2fAVMCOE%2fRepository%2fCognizant%20AppLens%2fArtifacts&FolderCTID=0x01200019FFC54613F2FC4FADF1315F7FC8F738   Please note that,if you have any issues with the portal we will be able to assist and if you have queries in onboarding the project in AppLens request you to reach your project DE POC.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S    Sinnochamps 1/3/2019 5:40:21 PM  Dear Gowrisankar,  Thank you for reaching IT Application Support.   Our Support engineer  has started working on your request and will share the update as soon as possible.    shall reach you, if any additional information is required.   Regards, IT Application Support.  S innochamps    Sinnochamps 1/3/2019 5:40:20 PM  Dear Gowrisankar,  Your request has been assigned to one of our team members.  S innochamps   ",AppLensLite,213
AVMPMO_L2,AVM PMO,Unable to save SO details,AVM PMO - Unable to save SO details,,"597603 1/3/2019 5:34:40 PM  WIP  SRI RAM    625820 1/3/2019 4:44:19 PM  Hi Team,  Please help in updating the Competency name for this SO#30841221 as "" SAp Functional""  Regards Avmtechdesk  Keerthana G S   ","Hi Team,  Please help in updating the Competency name for this SO#30841221 as "" SAp Functional""  Thanks","AR_ESCALATOR 1/9/2019 2:25:04 AM  Case INC000033097419 was automatically closed on 1/9/2019 2:00:00 AM.      597603 1/3/2019 5:36:03 PM   Competency name updated for this SO#30841221 as "" SAp Functional""   SRI RAM   ",AVMPMO,214
AppLensLite_L2,AVM 1Capp,Reports,Release FTE report jun'18,"Keywords : 1CAPP,  Release FTE, OneCaap , AVM 1 Caap Issue Notes: Need Report From 1CAPP Cause Code :  NA Resolution Code : provided the report",694563 1/3/2019 4:37:32 PM  //  Harish Vijay    436569 1/3/2019 4:36:02 PM  //  Paramasivam Krishnamoorthy    436569 1/3/2019 4:35:53 PM  //  Paramasivam Krishnamoorthy   ,Release FTE report jun'18,"AR_ESCALATOR 1/9/2019 2:26:06 AM  Case INC000033096917 was automatically closed on 1/9/2019 2:00:00 AM.      694563 1/3/2019 4:40:13 PM  Hi Dhivya, As per the request, report has generated and sent via mail.  Harish Vijay   ",AVM 1Capp,215
L1 (AVM Tools & Portals),Applens,Migrate data from old project id to new project id,Project migration in AppLensLite,"Dear Madhumitha,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033096754  Request:  We understand from your description that,Project migration in AppLensLite  Resolution:  Please be informed that,There is no option for deactivation an associate In applens. Allocation is based only on ESA.  As per the confirmation on the call/IM, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.",673898 1/3/2019 4:30:54 PM  A  Subhashini S   ,"Hi Team,  Is there any option to deactivate one associate's account in Applens temporarily without affecting ESA alocation. Please help me on this ASAP.","AR_ESCALATOR 1/9/2019 2:26:22 AM  Case INC000033096754 was automatically closed on 1/9/2019 2:00:00 AM.      675017 1/3/2019 5:54:14 PM  Dear Madhumitha,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033096754  Request:  We understand from your description that,Project migration in AppLensLite  Resolution:  Please be informed that,There is no option for deactivation an associate In applens. Allocation is based only on ESA.  As per the confirmation on the call/IM, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.   Dhilip Kumar   ",AppLensLite,216
L1 (AVM Tools & Portals),AppLensLite,How to delete the  Application Hierarcy,Need assisstance in AppLensLiteProject setup,"Dear Saranyaa ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033096706  Request:  We understand from your description that, Need assisstance in AppLensLiteProject setup  Resolution:  Please be informed that, as discussed on IM,there is no option of deleting the application in AppLens,if the timesheet is tagged to respective application you will not be able to delete /hide the application and if the timesheet is not  tagged to respective application you will be able to hide the application.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 1/3/2019 4:19:02 PM  In Progress  Subhashini S   ,Need to cleanup the App inventory,"AR_ESCALATOR 1/10/2019 3:37:58 AM  Case INC000033096706 was automatically closed on 1/10/2019 2:00:58 AM.      673898 1/3/2019 6:01:15 PM  Dear Saranyaa ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033096706  Request:  We understand from your description that, Need assisstance in AppLensLiteProject setup  Resolution:  Please be informed that, as discussed on IM,there is no option of deleting the application in AppLens,if the timesheet is tagged to respective application you will not be able to delete /hide the application and if the timesheet is not  tagged to respective application you will be able to hide the application.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.      Subhashini S   ",AppLensLite,217
L1 (AVM Tools & Portals),Applens,Others,AppLensLite Tracking Projectsetup Timesheet Others,"Dear Austin,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033096396  Request:  We understand from your description that,AppLensLite Tracking Projectsetup Timesheet Others  Resolution:  Please be informed that, As discussed through skype, if you want to download whole report.  kindly select the date range and right click on the report page .   export -> export report to download an excel file.  Kindly reach us for further queries.  Regards,  AVMCoETechDesk.",675017 1/4/2019 5:26:09 PM  //  Dhilip Kumar    673898 1/3/2019 4:16:40 PM  In Progress  Subhashini S   ,I have raised a request and now have the qliksense license however need assistance in extracting detailed sheet and other reports in applens. Please advice.,"675017 1/4/2019 5:29:53 PM  Dear Austin,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033096396  Request:  We understand from your description that,AppLensLite Tracking Projectsetup Timesheet Others  Resolution:  Please be informed that, As discussed through skype, if you want to download whole report.  kindly select the date range and right click on the report page .   export -> export report to download an excel file.  Kindly reach us for further queries.  Regards,  AVMCoETechDesk.   Dhilip Kumar    675017 1/3/2019 6:47:52 PM  Dear Austin,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033096396  Request:  We understand from your description that, AppLensLite Tracking Projectsetup Timesheet Others  Resolution:  Please be informed that, For extract reports from applens kindly follow the navigation.  Ticketing module -> Lead self service ->Timesheet reports  We are placing the ticket in pending for your confirmation  Kindly update on the ticket by logging into https://gsd.cognizant.com  Regards, AVMCoETechDesk.  Dhilip Kumar   ",AppLensLite,218
L1 (AVM Tools & Portals),AppLens,Others,Unable to view the Account name in the drop down in AppLens,"Hi Prabhu,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033096186""  Issue Description: Getting access denied error in App Lens  Information Provided:   Please be informed that, as checked from our end we could see that the project 1000231267 is not yet configured in App Lens du to which you were unable to access App Lens.  Request you to contact your ESA PM to get the project configured in App Lens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk",439435 1/4/2019 3:42:56 PM  In Progress  Vishnu Priya K    439435 1/3/2019 4:14:17 PM  In Progress  Vishnu Priya K    673898 1/3/2019 4:07:49 PM  a  Subhashini S   ,Hi Team I am working in Project ID : 1000231267 - Project Name : NEER Managed App Support FB. Could you please assist me for further steps. It Show access denied for me. Thanks Prabhu K (Working hours 1 pm to 10 pm IST),"AR_ESCALATOR 1/10/2019 3:39:20 AM  Case INC000033096186 was automatically closed on 1/10/2019 2:00:58 AM.      439435 1/4/2019 3:46:25 PM  Hi Prabhu,  Please be informed that, we request you to use the below link for App Lens project configuration.  Link : https://knowhub.cognizant.com/org/AVMCOE/Repository/Forms/AllItems.aspx?RootFolder=%2forg%2fAVMCOE%2fRepository%2fCognizant%20AppLens%2fArtifacts&FolderCTID=0x01200019FFC54613F2FC4FADF1315F7FC8F738   Note : PM of the project will have Admin access in App Lens by default. To get Admin/Proxy Admin access in App Lens, please contact PM so that you will be able to do configuration in App Lens  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.   Vishnu Priya K    SSOneC1697PROD 1/4/2019 3:41:47 PM  Could please provide Config document for project configured to Applens.  Prabhu Kannan    439435 1/3/2019 6:50:18 PM  Hi Prabhu,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033096186""  Issue Description: Getting access denied error in App Lens  Information Provided:   Please be informed that, as checked from our end we could see that the project 1000231267 is not yet configured in App Lens du to which you were unable to access App Lens.  Request you to contact your ESA PM to get the project configured in App Lens.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk  Vishnu Priya K   ",AppLensLite,219
L1 (AVM Tools & Portals),AppLensLite,Need access to Qliksense report,Need access to Qliksense report,"Dear Venkatraman ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033096003  Request:  We understand from your description that, Need access to Qliksense report  Resolution:  Please be informed that, we request you to raise a request in the below navigation,  https://identity.cognizant.com   >>Login with your credentials >>Join DL>>Search the DL Name as AVMQlikLicense (Cognizant)>>Join>>Confirm.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.",673898 1/3/2019 4:04:29 PM  In Progress  Subhashini S   ,Kindly Provide access to view qlik lens report,"AR_ESCALATOR 1/9/2019 2:28:49 AM  Case INC000033096003 was automatically closed on 1/9/2019 2:00:00 AM.      673898 1/3/2019 4:16:09 PM  Dear Venkatraman ,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033096003  Request:  We understand from your description that, Need access to Qliksense report  Resolution:  Please be informed that, we request you to raise a request in the below navigation,  https://identity.cognizant.com   >>Login with your credentials >>Join DL>>Search the DL Name as AVMQlikLicense (Cognizant)>>Join>>Confirm.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Regards, AVMCoETechDesk.    Subhashini S   ",AppLensLite,220
L1 (AVM Tools & Portals),AppLensLite,Others,unable to fill applens data,"Hi Abhinaba,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033095965""  Issue Description: My previous Applens tickets are not being shown,  Information Provided:   Please be informed that, as per functionality all the open tickets (except closed/completed/resolved/cancelled) tickets will be displaying in the timesheet page and also the tickets needs to be assigned in your name.  Also, the tickets with 0 efforts will be carry forwarded in timesheet.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.","439435 1/4/2019 11:35:40 AM  In Progress  Vishnu Priya K    439435 1/3/2019 4:34:18 PM  In Progress  Vishnu Priya K    673898 1/3/2019 4:26:22 PM  A  Subhashini S    436569 1/3/2019 4:25:40 PM  //  Paramasivam Krishnamoorthy    670407 1/3/2019 4:21:10 PM  Hi Team,  Kinldy assist the user.  Regards, Simplified L0 Team.  Mathupriya Mathiazhagan   ","My previous Applens tickets are not being shown, and I am not able to carry forward them","AR_ESCALATOR 1/10/2019 3:39:46 AM  Case INC000033095965 was automatically closed on 1/10/2019 2:00:58 AM.      439435 1/4/2019 11:37:47 AM  Hi Abhinaba  As discussed on call, please be informed that we request you to use the search ticket option and search for the ticket ""NACCMSM - 3381"" with the open date 28 NOV 2018.  Based on the open date, the tickets will be displayed in the search tickets.  We are resolving this case from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.   Vishnu Priya K    439435 1/3/2019 5:41:59 PM  Hi Abhinaba,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033095965""  Issue Description: My previous Applens tickets are not being shown,  Information Provided:   Please be informed that, as per functionality all the open tickets (except closed/completed/resolved/cancelled) tickets will be displaying in the timesheet page and also the tickets needs to be assigned in your name.  Also, the tickets with 0 efforts will be carry forwarded in timesheet.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.   Vishnu Priya K    Sinnochamps 1/3/2019 4:05:16 PM  Dear Abhinaba,  Thank you for reaching IT Application Support.   Our Support engineer  has started working on your request and will share the update as soon as possible.    shall reach you, if any additional information is required.   Regards, IT Application Support.  S innochamps    Sinnochamps 1/3/2019 4:05:15 PM  Dear Abhinaba,  Your request has been assigned to one of our team members.  S innochamps   ",AppLensLite,221
L1 (AVM Tools & Portals),AppLensLite,Need Clarification in Adoption Report,Do we have option to modify hours details based on allocation,"Dear Banu,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033095680  Request:  We understand from your description that,Do we have option to modify hours details based on allocation  Resolution:  Please be informed that,We can Change the mandatory hours by using the following navigation.  Admin Console -> user management -> ticketing module user -> edit the mandatory hours  If an associate has 50% allocation  so the mandatory hour will be changed , So they can log effort which should not less than the mandatory hours.  As per the confirmation on the call/IM, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.",673898 1/3/2019 4:03:30 PM  a  Subhashini S   ,Do we have option to modify hours details based on allocation,"AR_ESCALATOR 1/10/2019 3:40:22 AM  Case INC000033095680 was automatically closed on 1/10/2019 2:00:58 AM.      675017 1/3/2019 6:15:17 PM  Dear Banu,  Thank for reaching AVMCoETechDesk.  This is reference to the Ticket Number: INC000033095680  Request:  We understand from your description that,Do we have option to modify hours details based on allocation  Resolution:  Please be informed that,We can Change the mandatory hours by using the following navigation.  Admin Console -> user management -> ticketing module user -> edit the mandatory hours  If an associate has 50% allocation  so the mandatory hour will be changed , So they can log effort which should not less than the mandatory hours.  As per the confirmation on the call/IM, we are changing the status of the case as ""resolved"".  Kindly reach us for further queries.  Regards, AVMCoETechDesk.   Dhilip Kumar   ",AppLensLite,222
L1 (AVM Tools & Portals),AppLensLite,How to enable the Debt Engine,Need to enable the Debt Engine,"Hi Sharmili,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033095373""  Issue Description: Need to enable the Debt Engine for the project 1000228947  Information Provided:   As discussed on Skype, please be informed that we request you to login with App Lens Admin Console >> Debt management  Request you to check on the Pre-requisite --> click on Next  Select the Debt classification and provide the effective date (Should be current/future date) --> Next  Provide the debt control date (should be 2 months greater than effective date) -- > Save.  As checked, you have enabled the manual mode of debt classification. Also debt is applicable for Closed/Completed tickets for the below services :   1. Incident Resolution Unknown Services,  2. Known Error Resolution Services,  3. Adhoc Service Request Fulfillment,  4. Standard Service Request Fulfillment,  5. Application Monitoring Services,  6. Batch Monitoring Services,  7. Mail Box and Ticketing Tool Monitoring.      We are resolving this case from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.",625820 1/3/2019 3:54:21 PM  In Progress  Keerthana G S   ,Need to enable Debt Management in APPLENS for ASO account.  ASO - Application Maintenance,"AR_ESCALATOR 1/9/2019 2:29:49 AM  Case INC000033095373 was automatically closed on 1/9/2019 2:00:00 AM.      439435 1/3/2019 4:32:05 PM  Hi Sharmili,  Thank you for contacting AVMCoETechDesk.  This is with reference to the Ticket number: ""INC000033095373""  Issue Description: Need to enable the Debt Engine for the project 1000228947  Information Provided:   As discussed on Skype, please be informed that we request you to login with App Lens Admin Console >> Debt management  Request you to check on the Pre-requisite --> click on Next  Select the Debt classification and provide the effective date (Should be current/future date) --> Next  Provide the debt control date (should be 2 months greater than effective date) -- > Save.  As checked, you have enabled the manual mode of debt classification. Also debt is applicable for Closed/Completed tickets for the below services :   1. Incident Resolution Unknown Services,  2. Known Error Resolution Services,  3. Adhoc Service Request Fulfillment,  4. Standard Service Request Fulfillment,  5. Application Monitoring Services,  6. Batch Monitoring Services,  7. Mail Box and Ticketing Tool Monitoring.      We are resolving this case from our end.  Please contact us through https://gsd.cognizant.com for any further clarifications.  Warm Regards, AVMCoETechDesk.   Vishnu Priya K   ",AppLensLite,223
